,Title,Course,Task2.1,Post_text,Categories,Instr_text
10,Crust shortening?,amnhearth-002,1,"What is the physical orientation of crust shortening: Is it a shortening of the horizontal or vertical distance (length or thickness)? 
",elaborates,
11,Sorry for stupid question,bioinfomethods1-001,1,"Sorry ,but I don't uderstand your actions on 26 slide.can someone explain me please.
I'm afraid the video was recorded some time ago, http://www.ncbi.nlm.nih.gov/gquery does not look like this anymore (slide 24).  But you can still find a link to OMIM (slide 26): http://www.ncbi.nlm.nih.gov/omim/?term=early+onset+breastcancer Here I also could not find the link leading to ""Geneview in dbSNP"" next to the entry. Can anyone post where this linke is located now or post the URL of slide 27? Thanks for your help!",resolves,
12,Slide 22,bioinfomethods1-001,1,"It would be nice if the slides for the lectures were available. I have been watching the Week 1 Lecture.  I could have easily written a lecture for the part about database concepts.  I am familiar with most of the rest of it, but I seem to really be missing some minor point on slide 22 regarding alpha and beta globin chains.  I went back and listened again and it still does not make any sense to me.  Perhaps it will as I finish watching the video.",elaborates,"I believe that slide 22 related to briefly explaining the evolutionary relationships between genes related by sequence similarity, and a quick explanation of the various terms used to describe these relationships: homolog, ortholog and paralog. Paralog refers to duplicate copies of a gene in the genome of a species, in this case the mouse alpha globin chain gene and mouse beta globin chain gene can be thought of as paralogs of one another. Orthologs are genes that occurred due to speciation, so after the early globin chain gene duplicated into alpha chain and beta chain globin genes, the genes were found in different species. In this case, mouse, frog and chick alpha chain globin genes are orthologs of each other. Homolog is the all-encompassing term used to describe paralogs and orthologs. I've added the slides as a .pdf file (link is beside the mini-lecture link on the Navigator page), Arleigh."
13,Why is there no mention to Muscle allignment software?,bioinfomethods1-001,1," I think, not sure, that Muscle is so popular MSA application as Clustal. Am I wrong? Why is there no mention to Muscle?  
",resolves,
14,Evolutionary history,bioinfomethods1-001,1,"I am confused about the evolutionary history of the 8 sequences shown on page 1 of the lecture notes. In the video Dr. Provart states that ""the top 4 sequences are more similar in terms of their alignment than the bottom 4 sequences, which are also aligned in the sense that there is an insertion in the 2nd set of 4 sequences down here. So these (the bottom 4) are likely more closely evolutionarily related than these (top) 4 sequences and this can tell us the evolutionary history of a set of sequences that have been aligned."" Can you explain why this is? I would think that closer sequence alignment would indicate closer evolutionary history among the sequences.",resolves,"I think what is meant here is that the bottom 4 sequences are closely evolutionarily related to each other, and the top 4 sequences are closely related evolutionarily to each other. This is due to the fact that they align in a more similar manner to each other. Yes, that's what I meant. We'll see this better when we use multiple sequence alignments to construct phylogenetic trees next week! Best, Nick"
15,Regarding Bioinformatic Methods I,bioinfomethods1-001,1,"I would like to thank all my peers for providing excellent explanation on bioinformatic methods. The course / lab exercises /quiz are really innovative and informative. Links are very useful to download tools. But, I encountered  difficulty while using MEGA software as I cannot import file for further analysis. Do explain clearly about file conversion for eg. Fast A format to other versions that are required by MEGA software. Thank you.
",requests,"Hi! At which stage are you having problems with the file? Did you right-click on the link and save as? You should not open it using the link, but instead save it directly. Also, the extension of the file should be "".fas"" not "".fas.txt"". 
"
16,Pseudo-replicate construction,bioinfomethods1-001,1,"I'm getting lost during the explanation of how pseudo-replicates are constructed, slide 28, 21:50 ""...where you can see that weÂ´ve sampled the first column once, the second column three times..."" When looking at these columns, I am not sure what one sampling, or two etc should actually look like. As well, what defines the max number of samples you would take for any column?
Same problem",resolves,"Bootstrapping is a way of assigning confidence to a tree. Pseudoreplicates are created through an iterative resampling process. If you have a dataset (set of sequences in this case) of n sequences with m sites (bases or nucleotides), a number of resampled datasets are produced, and each site is sampled at random a number of times. These resampled datasets are used to produce a number of trees which are then all reconciled in order to produce one tree with confidence/bootstrap scores included. Generally, a good number of bootstraps is 500 - 1000 (depending on the time and computing power and size of dataset). A link that may help explain this further is: http://www.icp.ucl.ac.be/~opperd/private/bootstrap.html Hope this helps explain the concept further! Hi Eduard! See my post above for (hopefully) a bit more clarification. Many different random sampling patterns would be constructed, each containing the same sum as the length of the sequences. Eventually, after many runs of this process (500 in your case), you will be able to gain a statistical confidence for your tree."
17,parsimony vs ml,bioinfomethods1-001,1,"Any clear advantage in using ml vs parsimony? Would there be a situation where parsimony would be better?
Thanks for the reference at the end of lab 4. S Guidon and O Gascuel (2003) A simple, fast, and accurate algorithm to estimate large phylogenies by maximum likelihood. Syst. Biol. 52: 696-704.",resolves,
18,Can 3 branches arise from a single node?,bioinfomethods1-001,1,"In Max. likelihood example in the lecture at j th position, i noticed trifurcation, however if the ancestral node is either C or T, then don't we need an internal node of A or G for the terminal nodes A and G and compute likelihood at these internal positions also?
",resolves,
19,Erroneous and misleading information about Synonymous SNPs (sSNPs).,bioinfomethods1-001,1,"Sorry I'm late, but I've started the course just 3 days ago. Eventhough it already has a post relating this, it does not really seems to put the attention that this subject deserves. In lecture slides page 6: ""Synonymous substitutions are not exposed..."" I suggest that this information has to be changed. According to Chen (2010) (DOI:10.1371/journal.pone.0013574) sSNPs are just as likely to be involved in disease mechanisms. The reason of this is really well explained in a Nature paper of 2011 by Sauna and Kimchi-Sarfaty (DOI:10.1038/nrg3051) where they describe 4 different reasons why exactly sSNPs might be as damaging as the nsSNPs. (short link for the paper: http://goo.gl/CFy1Sf , reasons really well summarized on page 686 Figure 1). Therefore, nowadays, to stating that ""Synonymous substitutions are not exposed to (strong) selective pressures since they donât result in a change to the protein sequence"" and to suggest that this type of method would bring a more reliable result, would be as we Brazilians call: ""a shot in the foot"".",resolves,
20,Sign of Selection,bioinfomethods1-001,1,"Hi, all. I'll just post some quots from the lecture5. > ""Positive (âDarwinianâ) selection occurs when a beneficial mutation occurs in a population and increases in frequency (e.g. antibiotic resistance)"" > ""Positive selection effectively sweeps genetic variation from a population"" > ""In the case of positive selection, you would expect to see a higher proportion of amino acid substitutions in your population (because they are being increased by positive selection)"" I can see certain inconsistency or even contradiction here. Clarification required.",resolves,
21,Pi and Theta?,bioinfomethods1-001,1,"I just started watching the week 5 lecture, and I have to wonder why a population geneticist would consider using theta and pi as something other than a representation of ""degrees"" and ""the  ratio of a circle's circumference to its diameter "". What goes into someone's thinking in choosing the representation of a parameter/variable?",resolves,
22,When in relation to the three types of sections does non-synonymous/ synonymous mutations occur,bioinfomethods1-001,3,"Is it write to argue that synonymous mutations may only occur in a balancing selection whilst, non-synonymous mutations only occur in +ve or -ve selections? 
Organisms tend to use some codons more than others, and other organisms prefer different ones, even if they code for the same amino acid.This is known as codon bias.So, even synonymous changes can be under (weaker) selective pressure. Also, a non-synonymous mutation could have little to no impact on fitness, but might increase in frequency due to random drift. 
=""Is it write to argue that synonymous mutations may only occur in a balancing selection"" If I understood question correctly - no, it's not right. Synonymous mutations occur constantly, because they are under almost zero selection pressure. 
The effects of changing to synonymous codons might be subtle, but it seems they aren't insignificant: see e.g.  http://www.ncbi.nlm.nih.gov/pubmed/21102527 http://www.ncbi.nlm.nih.gov/pubmed/18983258 http://www.ncbi.nlm.nih.gov/pubmed/20308095 http://www.ncbi.nlm.nih.gov/pubmed/9720271",resolves,
23,Metagenomics,bioinfomethods1-001,1,"Just wanted to say that this is my first exposure to metagenomics, and, mind blown. That is all. :-)
",social,
24,DNA fragments for sequencing in slide11,bioinfomethods1-001,1,"Hi Folks, Can, please, someone help me to understand a picture in slide 10 (wrong in the name of the thread), Lecture 6 [=box1 (lab6)]. It shows that the primers at 5' end of the top strand are always green and at 5'-end of the reverse strand are always red. So ligation is unidirectional. Is it just simplification to make it easier for students to understand? Or is it really so? Then my question is how is it done. Any comment will be appreciated.",elaborates,
25,Information lost in lecture 6 slide 5 in pdf,bioinfomethods1-001,1,"I have submitted a bug report and replicate it here just in case: The figure on a slide 5 of a lecture 6 (about costs of human gut microbiome sequenced by Sanger, Roche 454 & Illumina) is 2 tables with rows and columns appearing sequentially while lecturer is discussing corresponding technique. However, in slides PDF only Sanger-related row and column (first ones) are present.",resolves,
26,Week 6 video lecture?,bioinfomethods1-001,1,"It seems there is no video of week 6 lecture?
Same problem, it's not just you 
I can't see the video of week 6 lecture.",resolves,
27,online experience (jax.org) does not match week 2 lab,bioinfomethods1-001,1,"#1 After following the instructions for finding pax6 gene in informatics.jax.org, I don't see: Thin diagonal blue lines in the bottom panel represent orthologous genes between mouse and human.  #2 I landed in: Chromosome 2: 105,183,133-106,183,132 and not the range indicated in the lab pdf. So the lab questions didn't apply to the page I was observing, but I think I get the gist of what they're getting at by inspecting the pdf.",resolves,"If you clicked on the Pax6 results when you used the Quick Search, the ENSEMBL link will take you to the region specified in the lab. Did you add Human for region comparison? I get this result (today) but I'm no longer seeing the blue lines as described in the lab. Not sure why. However, the green parallegrams connecting the human and mouse regions that are similar are still useful and you can still see the synteny, Gary, see  http://uswest.ensembl.org/Mus_musculus/Location/Multi?db=core;g=ENSMUSG00000027168;r=2:105183133-106183132;r1=11:31324981-32324980:-1;s1=Homo_sapiens . There was an update to the ENSEMBL DB between the time I posted the lab and now :( Best, NickYes, I'm learning about these issues as we move through the course, Laura! Sorry for the glitches... Best, Nick"
28,Gene Order and Coding Strand,bioinfomethods1-001,1,"In the lab we compared human and mouse pax6 and the purpose of it is to show us that gene order is often conserved. However, I have a question about the coding strain. In mouse it is on the forward while in human it is reverse. How can the order of genes conserve while the coding strand is not?",resolves,
29,Can't see the blue diagonals lines connecting orthologous genes,bioinfomethods1-001,5,"If you can`t see the blue diagonals lines connecting orthologous genes as happened to me , click on Configure this page or on Select species or regions on the left pannel. In the pop-up window, click on the tab Configure Comparison Image (the first tab) and under Comparative features select join genes. If after all this you still can't see the lines, refresh the page. It should work. Hope it helps! 
Thanks! 
Thanks ! :) 
Thanks
I can see only one blue line?? 
Thanks!
",resolves,
30,BLAST or megaBLAST,bioinfomethods1-001,1,"Hello everyone.  Does anyone know the difference between BLAST and megaBLAST?  I found the description here: http://www.ncbi.nlm.nih.gov/blast/html/megablast.html It seems it handles longer sequences more efficiently than BLAST.  When would you use one search versus the other?  Thanks in advance.
",resolves,
31,How about an office hour or working session at UofT?,bioinfomethods1-001,1,"A few of the other courses on coursera had offered in-person sessions for students lucky enough to be close to the schools offering the course. I think this is one of the first UofT courses since Neural Networks in 2012. Might you be inclined to hold a local meetup Dr. Provart?  
crickets",resolves,
32,What matrix to use and when?,bioinfomethods1-001,1,"Hi, all. I re-read the lecture and the lab 2 and also read some help about BLAST, and still I don't understand what substitution matrix (PAM or BLOSUM) and with what number we are supposed to use. Well, with number I've the 'half-answer' - if we know the approximate similarity (or evolutionary distance) between compared (aligned) proteins, we can choose. But if we are searching for the homologs of some protein across database, how we select the matrix?",elaborates,"Hi Boris! Generally speaking, PAM matrices are better to use for global alignments while BLOSUM matrices are better to use for local alignments. In terms of numbers, PAM100 would be used for less divergent sequences while PAM250 would be used for more divergent sequences. Confusingly, BLOSUM90 might be used for less divergent sequences while BLOSUM45 may be used for more divergent sequences. This resource may help you a little: http://abc.cbi.pku.edu.cn/2can/tutorials/matrices.html If you go through the Week Navigator, they are available to download if you right-click and save the file where it says ""these sequences""."
33,Week 2 Discussion vs. Item 15 of the Lab. Taxonomy report,bioinfomethods1-001,1,"Why my result came up with 1,916 while our instructor's result was 1,914 in the video Week 2 Discussion at 03:50. Other things' results came up the same, just except that one. Did I do something wrong?! Please help/explain. Thanks. Please see my result in the snapshot below",resolves,
34,Can't run WebACT !,bioinfomethods1-001,"1,2.","Hello ! I can't seem to run WebACT correctly. When I run as I get an error: ""Unable to launch the application"" I updated to last Java version correctly and checked in Firefox browser. Anybody else with this problem ? Thanks ! Ken :) 
 I can not run WebACT either. 
 Hi Kenneth and Melanie, Oracle just issued on the 15th of this month another step up in effort to secure Java. (And it is particularly stringent on Macs for some reason.) There is a work around. See here . (See here  for the technical details from Oracle.)  To get around it you want to download the '.jnlp' file to your drive and then follow the steps here   under ""Adding the site to the Exception Site List"" to add the exception. You want to add the exception for  http://www.webact.org:80/ . After you add it, you'll be able to right-click on the "".jnlp"" file you downloaded and choose ""Open with..."" and select ""Java Web State"" from the list. Click through to say you are sure you want to open it and now it should run. Wayne 
Hello Wayne ! Thank you so much for your post ! I am on Windows 7 PRO 64 bits and I followed your instructions as for MAC OS Java, and as our Java interface is almost identical, it worked well ! However, when I ran WebACT, I get a screen that doesn't look at all like the example in the course pdf ! This is what I got when I tried the webACT application on my MAC mini also ! I tried a few display options but to no avail. I have a Dell Optiplex 9010, 16 GB RAM and a Nvidia Quadro 600 Video card, so I think I should have the specs to be able to run the application. Am I doing something wrong ? Probably something to do with the display configuration ? Thanks ! Ken :) 
Hi Ken, Your image looks like what I saw.  The example in the lab pdf is between humans and mice. A good deal distant in evolutionary terms. I think you did everything right. In the example in the lab, we are looking at organisms with the same ATCC identifier. Scroll right to around '892800' to get the view much like he had in the summary, post-lab discussion talk slides. I found depending on where I clicked on the screen I could toggle the color red or yellow. That is interesting adding the exception worked for you on Windows too. I had been told Java applets were still working on at least one person's updated Java on Windows. But maybe he spoke to soon. Since I have been advising people how to keep Proteopedia.org working, it is useful to know how many systems are affected and that the work around works there. Wayne",social,
35,blastx - error when starting the BLAST,bioinfomethods1-001,1,"Hello,  I can't do the blastx exercise because when I copy the sequence and then start the BLAST it gives this error: Message ID#32 Error: Query contains no data: Query contains no sequence data even if the sequence is in the search box.  How can I do to solve this?  thanks",requests,
36,Clarification about score,bioinfomethods1-001,1,"Hi, all. I'm now on first iteration of the PSI-BLAST, question 4-d. For the top sequence beneath the set treshold I see (in 'alignment' part of the page): score 160 bits(346) What does it mean? Which of these numbers is actually the alignment score (R or S)?",resolves,
37,Week 2 Discussion vs. Lab quiz question 1 = item 13 of the Lab,bioinfomethods1-001,"1,3,5,7.","In Week 2 Discussion: Week 2 Discussion also Lab week 2 question 1 = item 13 of the Lab. At the time of 02:57, our instructor mentioned about the last hit has an E  value of around 4 times 10 to the minus 174. My questions are 1/ Where is the last hit? 2/ I guess if I know where it is, then I can tell the vale of E. Because I don't know yet, so my next question is where can I see the value of E of the last hit? Please see my snapshot below. That could be great if you can take the snapshot(s) to show me. Thank you. 
i also had trouble answering this weeks 1st question as in my graphical summary the last hit had a value of exactly zero ( see screenshots for search strategy and graphical summary) so I wonder if there is any variation in a.what the instructor does as on the pdf files of the lab , Existence: Extension ratio is 11:1 whereas my Blastp default is set at 10:1. No matter what however, the result is always the same for my browser : i.e. last is both ways E=0 or b. The settings for graphical summary are variable? I enclose my search strategy and snapshots of the results. PS. To reply to the above participant: the E value of each HSP can be seen on the little white box above the colour codes but first you need to mouse over the desired sequence. The last hit is exactly what the words say : last as in the furthest down of the lines and hit (well if you can't see it then its not thereâ¦pun pun).Or you can click on the coloured bar and it will take you to the alignment. 
Oh, plus the fact that the one Linda and you indicate is just a fragment of the whole query and not the full alignment -I m pretty sure combined the two fragments in line 3 have an e-value that is not calculated by blast. Last hit needs to be the last freaking hit shown- no doubts about that.  
Thank you, Linda! I did try to move the mouse over the red bars. Most of them showed E=0, but except the only one red bar as you mentioned, but my E value that time (the time I asked the question above, yesterday) was E = 5.7e-178 (not around 4e-174 like our instructor said) :-( Until now I did not know what/where I did wrong yet. Any more input? Thanks! Please see my E value in the purple rectangle of the snapshot below And by the way, how do we know the one with E=5.7e-178 is the last hit, Linda? Please explain (because that time I thought the one in the bottom most is the last one. And the one with E=5.8e-178, etc I thought it was belong to the third red bar one, it was broken down in the middle due to my computer problems :-(. Thanks. 1.How can I know that the score of the first quiz is confirmed for me? 2. In the course record what can be done or added to it? Muna Al.Saadoon",resolves,
38,Not getting the same output as Lab pdf,bioinfomethods1-001,"1,2,5,6.","Hi, is there a possibility that after entering the same settings as written in the Lab 2 pdf one gets different output? In addition, few things are unclear (e.g. are we to turn on or off the low complexity filter?) After doing part 1 (BlastP) of Lab 2, my graphical display does not contain 100 hits, but only 55. Further, neither hit #55 or #100 have the E-value (suggested in Discussion video). Finally, when clicking Taxonomy reports, a new window opens with the message "" No valid taxids found in the alignment "". Does anyone see what am I doing wrong? 
I agree with your observations.  I don't see 100 hits displayed and the E value is 0.  Also no valid taxonomy report... >>> Professor and staff:  This could be a really great course, but for beginners, it is >>> extremely important<<< that the lab document matches >>>exactly<<< with the output from the programs!  I know that the program can change and it can be very boring and tedious to make the lab document match up, but in order for beginners to learn and gain confidence in the material, and not give up because of frustration and confusion, it has to be WYSIWYG!  Please make this happen.  This could be the best bioinformatics course yet offered by Coursera, with great information, but the lab has got to work.  Thank you. 

I also agree. the graphical output is not presenting 100 sequences. one way to do this is to ''select all'' outputs from the table below, and click on ''graphics'' next to ''download'' link.
Not only for beginners, in the moment i match the answer in the lab quizz, at least the hit number 100 which is the most closely number that i found in the optional answers, it is wrong. The query input has been update almost a month ago, so maybe there are many things that must be need change. I hope the staff can help us... Edit1: After tried 10 times, clear all my historial, cookies and cache. Finally the Taxonomy report appear. Just be patients courserian partners...
I would keep trying on the taxonomy report. The first 2 times I tried the Taxonomy report is wasn't available. I retried it again a few seconds later and it was fine,  These are actual databases, not practice subsets, and are constantly being updated with new sequences. It's not possible to guarantee that the result you see will look exactly like the slide the course instructors created. This is in addition to any changes that might occur to the Web interface.",elaborates,"Hi everyone! As Marc above said, please keep trying with some of these web-based tools if you run into issues. Sometimes, if there are a lot of people using a particular tool at the same time, the program may slow down temporarily. If you keep trying, you will eventually get a result! Also, while we do try our best to keep the labs, quizzes etc. as up-to-date as possible, these databases are updated frequently and user interfaces also change frequently. As a result, it is not always possible to have the most up-to-date results/interfaces in the videos or lab documents. Nevertheless, you should be able to gain an understanding of the concepts by doing the labs and watching the lectures. Additionally, in the screenshot shown above, I don't think the ""Low complexity regions"" was checked, but in the lab it has instructed you to check this. Hope that helps! Hi Andyk! Yes I am seeing the result you mentioned, The database has recently been updated it seems. If you keep going down a couple of rows past that first non-zero value, you should see a value that is included in the answers. The value you are seeing (0) is the closest to one of the answers (""Close to xxxxxx""). Hope that helps!"
39,MEGA version,bioinfomethods1-001,1,Can I use MEGA 6 instead of MEGA 5 without any problem?,resolves,
40,Why so different gap penalties?,bioinfomethods1-001,1,"Here's what concerns me. When we performed database search by BLAST, we used gap penalties below 10 (even below 5, AFAIR). Aligning with ClustalW we set penalties to 20 and even 100. Using MAFFT we again return to below-5 gap penalties. And, as I can see, we still get consistent result. Are such drastic differences because of different programs used and hence different scorings (by the way, where can I see alignment scores?), or smth. else?",resolves,
41,CHAOS + DIALIGN Error,bioinfomethods1-001,2,"Hi Everyone. I'm having trouble getting the correct alignment output from DIALIGN. I get this error: WARNING: anchor # 1 starts at position 639 in sequence 3 and is 1 residues in length. However, sequence 3 is only 414 residues in length PROGRAM TERMINATED WARNING: anchor # 1 starts at position 639 in sequence 3 and is 1 residues in length. However, sequence 3 is only 414 residues in length PROGRAM TERMINATED I exported the ClustalW file correctly from MEGA. Any suggestions? 
 The instruction in the lab was: 2. Upload your unaligned nucleic acid sequences in FASTA formatâ¦ So, perhaps this means the 'original' unaligned .fas sequences you downloaded for the lab, rather than the aligned sequences you exported from MEGA. ?",resolves,
42,Saving MAFFT Jalview files,bioinfomethods1-001,"1,2.","The professor suggests that files can be saved but there is no SAVE command under FIle or anyplace else in MAFFT website.  How do you save the file?  Is it possible to save the pretty charts created by Jalview?
The last point in Lab3 says: 7. ""You can save your alignments in a variety of sequence formats either through the MAFFT output page (options near the top of the page) or through the File menu of Jalview."" I did not see an obvious way to save the alignment either through the MAFFT output page or through the File menu of Jalview.",resolves,"Try going to File > View in Full Application and then you should be able to Save Project. Hope this helps! Which file are you using? According to the instructions in the lab, you should be using an unaligned protein file, not a nucleotide file. 
"
43,Saving Fasta seq file to my computer,bioinfomethods1-001,12,"""You'll need these sequences for the lab (right-click to download them to your computer)! "" Clicking displays the content of the Fasta sequences on my screen. Right clicking allows me to save to the link, along with other options. Is this the material we are supposed to save to a file to do the exercise? ""Open up the alignment editor of MEGA 5 (install MEGA 5 from http://megasoftware.net) â¢ Click the Align tab â¢ Select Edit/Build Alignment, then Retrieve sequences from a file to load your file."" What sort of a file should we put these sequences into? Word? Or is there a way to save these as a file? Or are you talking about some totally different file that I have not yet discovered? I will be re-reading the Word document about Lab 3 to see what I missed. 
Hi Arleigh That is the file you need. Save the file as a "".fas"". Depending on your OS you might have to save them to your computer (by right clicking > save link as) and then opening in a text editor (notepad, editpad, etc). You can then save the file in the text editor and manually change the file extension to "".fas"". https://class.coursera.org/bioinfomethods1-001/forum/thread?thread_id=331 Good luck Andrew 
Notepad is a better option than word, but make sure that you select ""All files"" (in ""Save As""). this should remove the current file extension (this works for me in Win XP, Vista and 7) Okay, Crimson created a FASTA file that looks like what I want, and it seems to be working for the next step.  I will press on. 
Thanks for this post.  From Mega I could not find my directories.  Problem solved by just clicking on the file!Thanks all for the tips.  I was lost on step 3 without an idea of how to save the sequences in the right format for Mega.
I can't convert a .fas.txt file to a .fas file on a Mac.  The .txt extension appears whether I specify it or not. 
I am using TextEdit on the Mac. Find where the file is, the <control> click or select it and click <command>-i to Get info.  You can change the name (in the name and extension box) and unclick the hide extension option so that you can see the .fas extension. hope this helps.On my windows vista machine, I opened the downloaded file in notepad. I had to use File -> save as -> file type Then in the bottom I selected As as type = ""all files"". After this Mega was able to read my downloaded file.  I hope this helps.",resolves,
44,clustaw parameters,bioinfomethods1-001,1," do someone knows the significance of all Clustaw parameters? from residue-specific penalties to below 
",resolves,
45,About Mega alignment - Display / Toggle conserved sites,bioinfomethods1-001,1,There is a nice characteristic in Mega at menu --> Display / Toggle conserved sites after aligned it shows the 60% (or other) sites aligned without the background color,resolves,
46,What does the scale bar at the trees mean?,bioinfomethods1-001,1,"Once we get the tree, there is at the bottom a scale bar, what does it means/measures? What it is for?
",resolves,
