,Title,Course,Task2.1,Categories,Post_text,Comment_text,Post_count,Comment_count
10,Crust shortening?,amnhearth-002,1,elaborates,"What is the physical orientation of crust shortening: Is it a shortening of the horizontal or vertical distance (length or thickness)? 
",,1,0
11,Sorry for stupid question,bioinfomethods1-001,1,resolves,"Sorry ,but I don't uderstand your actions on 26 #URLREF someone explain me please.
I'm afraid the video was recorded some time ago, #URLREF#URLREF does not look like this anymore (slide 24).  But you can still find a link to OMIM (slide 26): #URLREF#URLREF?term=early+onset+breastcancer Here I also could not find the link leading to ""Geneview in dbSNP"" next to the entry. Can anyone post where this linke is located now or post the URL of slide 27? Thanks for your help!",,2,0
12,Slide 22,bioinfomethods1-001,1,elaborates,"It would be nice if the slides for the lectures were available. I have been watching the Week 1 Lecture.  I could have easily written a lecture for the part about database concepts.  I am familiar with most of the rest of it, but I seem to really be missing some minor point on slide 22 regarding alpha and beta globin chains.  I went back and listened again and it still does not make any sense to me.  Perhaps it will as I finish watching the video.",,1,0
13,Why is there no mention to Muscle allignment software?,bioinfomethods1-001,1,resolves," I think, not sure, that Muscle is so popular MSA application as Clustal. Am I wrong? Why is there no mention to Muscle?  
",,1,0
14,Evolutionary history,bioinfomethods1-001,1,resolves,"I am confused about the evolutionary history of the 8 sequences shown on page 1 of the lecture notes. In the video Dr. Provart states that ""the top 4 sequences are more similar in terms of their alignment than the bottom 4 sequences, which are also aligned in the sense that there is an insertion in the 2nd set of 4 sequences down here. So these (the bottom 4) are likely more closely evolutionarily related than these (top) 4 sequences and this can tell us the evolutionary history of a set of sequences that have been aligned."" Can you explain why this is? I would think that closer sequence alignment would indicate closer evolutionary history among the sequences.",,1,0
15,Regarding Bioinformatic Methods I,bioinfomethods1-001,1,requests,"I would like to thank all my peers for providing excellent explanation on bioinformatic methods. The course / lab exercises /quiz are really innovative and informative. Links are very useful to download tools. But, I encountered  difficulty while using MEGA software as I cannot import file for further analysis. Do explain clearly about file conversion for eg. Fast A format to other versions that are required by MEGA software. Thank you.
",,1,0
16,Pseudo-replicate construction,bioinfomethods1-001,1,resolves,"I'm getting lost during the explanation of how pseudo-replicates are constructed, slide 28, #TIMEREF ""...where you can see that weÂ´ve sampled the first column once, the second column three times..."" When looking at these columns, I am not sure what one sampling, or two etc should actually look like. As well, what defines the max number of samples you would take for any column?
Same problem",,2,0
17,parsimony vs ml,bioinfomethods1-001,1,resolves,"Any clear advantage in using ml vs parsimony? Would there be a situation where parsimony would be better?
Thanks for the reference at the end of lab 4. S Guidon and O Gascuel (2003) A simple, fast, and accurate algorithm to estimate large phylogenies by maximum likelihood. Syst. Biol. 52: 696-704.",,2,0
18,Can 3 branches arise from a single node?,bioinfomethods1-001,1,resolves,"In Max. likelihood example in the lecture at j th position, i noticed trifurcation, however if the ancestral node is either C or T, then don't we need an internal node of A or G for the terminal nodes A and G and compute likelihood at these internal positions also?
",,1,0
19,Erroneous and misleading information about Synonymous SNPs (sSNPs).,bioinfomethods1-001,1,resolves,"Sorry I'm late, but I've started the course just 3 days ago. Eventhough it already has a post relating this, it does not really seems to put the attention that this subject deserves. In lecture slides page 6: ""Synonymous substitutions are not exposed..."" I suggest that this information has to be changed. According to Chen #MATH selective pressures since they donât result in a change to the protein sequence"" and to suggest that this type of method would bring a more reliable result, would be as we Brazilians call: ""a shot in the foot"".",,1,0
20,Sign of Selection,bioinfomethods1-001,1,resolves,"Hi, all. I'll just post some quots from the lecture5. > ""Positive (âDarwinianâ) selection occurs when a beneficial mutation occurs in a population and increases in frequency (e.g. antibiotic resistance)"" > ""Positive selection effectively sweeps genetic variation from a population"" > ""In the case of positive selection, you would expect to see a higher proportion of amino acid substitutions in your population (because they are being increased by positive selection)"" I can see certain inconsistency or even contradiction here. Clarification required.",,1,0
21,Pi and Theta?,bioinfomethods1-001,1,resolves,"I just started watching the week 5 lecture, and I have to wonder why a population geneticist would consider using theta and pi as something other than a representation of ""degrees"" and ""the  ratio of a circle's circumference to its diameter "". What goes into someone's thinking in choosing the representation of a parameter/variable?",,1,0
22,When in relation to the three types of sections does non-synonymous/ synonymous mutations occur,bioinfomethods1-001,3,resolves,"Is it write to argue that synonymous mutations may only occur in a balancing selection whilst, non-synonymous mutations only occur in +ve or -ve selections? 
Organisms tend to use some codons more than others, and other organisms prefer different ones, even if they code for the same amino acid.This is known as codon bias.So, even synonymous changes can be under (weaker) selective pressure. Also, a non-synonymous mutation could have little to no impact on fitness, but might increase in frequency due to random drift. 
=""Is it write to argue that synonymous mutations may only occur in a balancing selection"" If I understood question correctly - no, it's not right. Synonymous mutations occur constantly, because they are under almost zero selection pressure. 
The effects of changing to synonymous codons might be subtle, but it seems they aren't insignificant: see e.g.  #URLREF#URLREF #URLREF#URLREF #URLREF#URLREF #URLREF#URLREF 
","The effects of changing to synonymous codons might be subtle, but it seems they aren't insignificant: see e.g.  #URLREF#URLREF #URLREF#URLREF #URLREF#URLREF #URLREF#URLREF 
",3,1
23,Metagenomics,bioinfomethods1-001,1,social,"Just wanted to say that this is my first exposure to metagenomics, and, mind blown. That is all. :-)
",,1,0
24,DNA fragments for sequencing in slide11,bioinfomethods1-001,1,elaborates,"Hi Folks, Can, please, someone help me to understand a picture in slide 10 (wrong in the name of the thread), Lecture 6 [=box1 (lab6)]. It shows that the primers at 5' end of the top strand are always green and at 5'-end of the reverse strand are always red. So ligation is unidirectional. Is it just simplification to make it easier for students to understand? Or is it really so? Then my question is how is it done. Any comment will be appreciated.",,1,0
25,Information lost in lecture 6 slide 5 in pdf,bioinfomethods1-001,1,resolves,I have submitted a bug report and replicate it here just in case: The figure on a slide 5 of a lecture 6 #MATH are present.,,1,0
26,Week 6 video lecture?,bioinfomethods1-001,1,resolves,"It seems there is no video of week 6 lecture?
Same problem, it's not just you 
I can't see the video of week 6 lecture.",,3,0
27,online experience (jax.org) does not match week 2 lab,bioinfomethods1-001,1,resolves,"#1 After following the instructions for finding pax6 gene in #URLREFg, I don't see: Thin diagonal blue lines in the bottom panel represent orthologous genes between mouse and human.  #2 I landed in: Chromosome 2: 105,183,133-106,183,132 and not the range indicated in the lab pdf. So the lab questions didn't apply to the page I was observing, but I think I get the gist of what they're getting at by inspecting the pdf.",,1,0
28,Gene Order and Coding Strand,bioinfomethods1-001,1,resolves,"In the lab we compared human and mouse pax6 and the purpose of it is to show us that gene order is often conserved. However, I have a question about the coding strain. In mouse it is on the forward while in human it is reverse. How can the order of genes conserve while the coding strand is not?",,1,0
29,Can't see the blue diagonals lines connecting orthologous genes,bioinfomethods1-001,5,resolves,"If you can`t see the blue diagonals lines connecting orthologous genes as happened to me , click on Configure this page or on Select species or regions on the left pannel. In the pop-up window, click on the tab Configure Comparison Image (the first tab) and under Comparative features select join genes. If after all this you still can't see the lines, refresh the page. It should work. Hope it helps! 
Thanks! 
Thanks ! :) 
Thanks
I can see only one blue line?? 
Thanks!
",,6,0
30,BLAST or megaBLAST,bioinfomethods1-001,1,resolves,"Hello everyone.  Does anyone know the difference between BLAST and megaBLAST?  I found the description here: #URLREF#URLREF It seems it handles longer sequences more efficiently than BLAST.  When would you use one search versus the other?  Thanks in advance.
",,1,0
31,How about an office hour or working session at UofT?,bioinfomethods1-001,1,resolves,"A few of the other courses on coursera had offered in-person sessions for students lucky enough to be close to the schools offering the course. I think this is one of the first UofT courses since Neural Networks in 2012. Might you be inclined to hold a local meetup Dr. Provart?  
crickets",,2,0
32,What matrix to use and when?,bioinfomethods1-001,1,elaborates,"Hi, all. I re-read the lecture and the lab 2 and also read some help about BLAST, and still I don't understand what substitution matrix #MATH proteins, we can choose. But if we are searching for the homologs of some protein across database, how we select the matrix?",,1,0
33,Week 2 Discussion vs. Item 15 of the Lab. Taxonomy report,bioinfomethods1-001,1,resolves,"Why my result came up with 1,916 while our instructor's result was 1,914 in the video Week 2 Discussion at #TIMEREF. Other things' results came up the same, just except that one. Did I do something wrong?! Please help/explain. Thanks. Please see my result in the snapshot below",,1,0
34,Can't run WebACT !,bioinfomethods1-001,"1,2.",social,"Hello ! I can't seem to run WebACT correctly. When I run as I get an error: ""Unable to launch the application"" I updated to last Java version correctly and checked in Firefox browser. Anybody else with this problem ? Thanks ! Ken :) 
 I can not run WebACT either. 
 Hi Kenneth and Melanie, Oracle just issued on the 15th of this month another step up in effort to secure Java. (And it is particularly stringent on Macs for some reason.) There is a work around. See here . (See here  for the technical details from Oracle.)  To get around it you want to download the '.jnlp' file to your drive and then follow the steps here   under ""Adding the site to the Exception Site List"" to add the exception. You want to add the exception for  #URLREF:80/ . After you add it, you'll be able to right-click on the "".jnlp"" file you downloaded and choose ""Open with..."" and select ""Java Web State"" from the list. Click through to say you are sure you want to open it and now it should run. Wayne 
Hello Wayne ! Thank you so much for your post ! I am on Windows 7 PRO 64 bits and I followed your instructions as for MAC OS Java, and as our Java interface is almost identical, it worked well ! However, when I ran WebACT, I get a screen that doesn't look at all like the example in the course pdf ! This is what I got when I tried the webACT application on my MAC mini also ! I tried a few display options but to no avail. I have a Dell Optiplex 9010, 16 GB RAM and a Nvidia Quadro 600 Video card, so I think I should have the specs to be able to run the application. Am I doing something wrong ? Probably something to do with the display configuration ? Thanks ! Ken :) 
Hi Ken, Your image looks like what I saw.  The example in the lab pdf is between humans and mice. A good deal distant in evolutionary terms. I think you did everything right. In the example in the lab, we are looking at organisms with the same ATCC identifier. Scroll right to around '892800' to get the view much like he had in the summary, post-lab discussion talk slides. I found depending on where I clicked on the screen I could toggle the color red or yellow. That is interesting adding the exception worked for you on Windows too. I had been told Java applets were still working on at least one person's updated Java on Windows. But maybe he spoke to soon. Since I have been advising people how to keep #URLREF working, it is useful to know how many systems are affected and that the work around works there. Wayne",,5,0
35,blastx - error when starting the BLAST,bioinfomethods1-001,1,requests,"Hello,  I can't do the blastx exercise because when I copy the sequence and then start the BLAST it gives this error: Message ID#32 Error: Query contains no data: Query contains no sequence data even if the sequence is in the search box.  How can I do to solve this?  thanks",,1,0
36,Clarification about score,bioinfomethods1-001,1,resolves,"Hi, all. I'm now on first iteration of the PSI-BLAST, question 4-d. For the top sequence beneath the set treshold I see (in 'alignment' part of the page): score 160 bits(346) What does it mean? Which of these numbers is actually the alignment score (R or S)?",,1,0
37,Week 2 Discussion vs. Lab quiz question 1 = item 13 of the Lab,bioinfomethods1-001,"1,3,5,7.",resolves,"In Week 2 Discussion: Week 2 Discussion also Lab week 2 question 1 = item 13 of the Lab. At the time of #TIMEREF, our instructor mentioned about the last hit has an E  value of around 4 times 10 to the minus 174. My questions are 1/ Where is the last hit? 2/ I guess if I know where it is, then I can tell the vale of E. Because I don't know yet, so my next question is where can I see the value of E of the last hit? Please see my snapshot below. That could be great if you can take the snapshot(s) to show me. Thank you. 
i also had trouble answering this weeks 1st question as in my graphical summary the last hit had a value of exactly zero ( see screenshots for search strategy and graphical summary) so I wonder if there is any variation in #URLREF the instructor does as on the pdf files of the lab , Existence: Extension ratio is 11:1 whereas my Blastp default is set at 10:1. No matter what however, the result is always the same for my browser : i.e. last is both ways E=0 or b. The settings for graphical summary are variable? I enclose my search strategy and snapshots of the results. PS. To reply to the above participant: the E value of each HSP can be seen on the little white box above the colour codes but first you need to mouse over the desired sequence. The last hit is exactly what the words say : last as in the furthest down of the lines and hit (well if you can't see it then its not thereâ¦pun pun).Or you can click on the coloured bar and it will take you to the alignment. 
I did, I think you have confused the last hit value- the results need to be sorted according to E-value I think, so you get all the zeros together at first and then the other values, just hit on e-value column header just as in excel. #MATH. The answer for the quiz though is the same as zero is still the closest to whatever -174. Cheers.
 
Thank you, Linda! I did try to move the mouse over the red bars. Most of them showed E=0, but except the only one red bar as you mentioned, but my E value that time #MATH :-( Until now I did not know what/where I did wrong yet. Any more input? Thanks! Please see my E value in the purple rectangle of the snapshot below And by the way, how do we know the one with E=5.7e-178 is the last hit, Linda? Please explain (because that time I thought the one in the bottom most is the last one. And the one with E=5.8e-178, etc I thought it was belong to the third red bar one, it was broken down in the middle due to my computer problems :-(. Thanks. 
1.How can I know that the score of the first quiz is confirmed for me? 2. In the course record what can be done or added to it? Muna Al.Saadoon","I did, I think you have confused the last hit value- the results need to be sorted according to E-value I think, so you get all the zeros together at first and then the other values, just hit on e-value column header just as in excel. #MATH. The answer for the quiz though is the same as zero is still the closest to whatever -174. Cheers.
Thank you, Linda! I did try to move the mouse over the red bars. Most of them showed E=0, but except the only one red bar as you mentioned, but my E value that time #MATH :-( Until now I did not know what/where I did wrong yet. Any more input? Thanks! Please see my E value in the purple rectangle of the snapshot below And by the way, how do we know the one with E=5.7e-178 is the last hit, Linda? Please explain (because that time I thought the one in the bottom most is the last one. And the one with E=5.8e-178, etc I thought it was belong to the third red bar one, it was broken down in the middle due to my computer problems :-(. Thanks.",4,2
38,Not getting the same output as Lab pdf,bioinfomethods1-001,"1,2,5,6.",elaborates,"Hi, is there a possibility that after entering the same settings as written in the Lab 2 pdf one gets different output? In addition, few things are unclear #MATH. Finally, when clicking Taxonomy reports, a new window opens with the message "" No valid taxids found in the alignment "". Does anyone see what am I doing wrong? 
I agree with your observations.  I don't see 100 hits displayed and the E value is 0.  Also no valid taxonomy report... >>> Professor and staff:  This could be a really great course, but for beginners, it is >>> extremely important<<< that the lab document matches >>>exactly<<< with the output from the programs!  I know that the program can change and it can be very boring and tedious to make the lab document match up, but in order for beginners to learn and gain confidence in the material, and not give up because of frustration and confusion, it has to be WYSIWYG!  Please make this happen.  This could be the best bioinformatics course yet offered by Coursera, with great information, but the lab has got to work.  Thank you. 

I also agree. the graphical output is not presenting 100 sequences. one way to do this is to ''select all'' outputs from the table below, and click on ''graphics'' next to ''download'' link.
Not only for beginners, in the moment i match the answer in the lab quizz, at least the hit number 100 which is the most closely number that i found in the optional answers, it is wrong. The query input has been update almost a month ago, so maybe there are many things that must be need change. I hope the staff can help us... Edit1: After tried 10 times, clear all my historial, cookies and cache. Finally the Taxonomy report appear. Just be patients courserian partners...
I would keep trying on the taxonomy report. The first 2 times I tried the Taxonomy report is wasn't available. I retried it again a few seconds later and it was fine,  These are actual databases, not practice subsets, and are constantly being updated with new sequences. It's not possible to guarantee that the result you see will look exactly like the slide the course instructors created. This is in addition to any changes that might occur to the Web interface.",,6,0
39,MEGA version,bioinfomethods1-001,1,resolves,Can I use MEGA 6 instead of MEGA 5 without any problem?,,1,0
40,Why so different gap penalties?,bioinfomethods1-001,1,resolves,"Here's what concerns me. When we performed database search by BLAST, we used gap penalties below 10 #MATH, or smth. else?",,1,0
41,CHAOS + DIALIGN Error,bioinfomethods1-001,2,resolves,"Hi Everyone. I'm having trouble getting the correct alignment output from DIALIGN. I get this error: WARNING: anchor # 1 starts at position 639 in sequence 3 and is 1 residues in length. However, sequence 3 is only 414 residues in length PROGRAM TERMINATED WARNING: anchor # 1 starts at position 639 in sequence 3 and is 1 residues in length. However, sequence 3 is only 414 residues in length PROGRAM TERMINATED I exported the ClustalW file correctly from MEGA. Any suggestions? 
 The instruction in the lab was: 2. Upload your unaligned nucleic acid sequences in FASTA formatâ¦ So, perhaps this means the 'original' unaligned .fas sequences you downloaded for the lab, rather than the aligned sequences you exported from MEGA. ?",,2,0
42,Saving MAFFT Jalview files,bioinfomethods1-001,"1,2.",resolves,"The professor suggests that files can be saved but there is no SAVE command under FIle or anyplace else in MAFFT website.  How do you save the file?  Is it possible to save the pretty charts created by Jalview?
The last point in Lab3 says: 7. ""You can save your alignments in a variety of sequence formats either through the MAFFT output page (options near the top of the page) or through the File menu of Jalview."" I did not see an obvious way to save the alignment either through the MAFFT output page or through the File menu of Jalview.",,2,0
43,Saving Fasta seq file to my computer,bioinfomethods1-001,12,resolves,"""You'll need these sequences for the lab #MATH â¢ Click the Align tab â¢ Select Edit/Build Alignment, then Retrieve sequences from a file to load your file."" What sort of a file should we put these sequences into? Word? Or is there a way to save these as a file? Or are you talking about some totally different file that I have not yet discovered? I will be re-reading the Word document about Lab 3 to see what I missed. 
Hi Arleigh That is the file you need. Save the file as a "".fas"". Depending on your OS you might have to save them to your computer (by right clicking > save link as) and then opening in a text editor (notepad, editpad, etc). You can then save the file in the text editor and manually change the file extension to "".fas"". #URLREF#URLREF-001/forum/thread?thread_id=331 Good luck Andrew 
Notepad is a better option than word, but make sure that you select ""All files"" (in ""Save As""). this should remove the current file extension (this works for me in Win XP, Vista and 7) 
Okay, Crimson created a FASTA file that looks like what I want, and it seems to be working for the next step.  I will press on. 
Arleigh, Since you seem to have been stuck at the same place I was, perhaps you can post in detail how you got unstuck.  Specifically: 1) where did you find the sequences we are suppose to use.  I can't find anything saying ""you will need these sequences for the lab"" and asking you to right click.  ...where is this? 2) I have downloaded Mega 6 and Crimson Editor to my Windows 7 machine..both appear to be functional.  Once I get the sequence from the location do I just copy it and paste it into the crimson editor?  once I get the output from crimson do I save it to my computer as a word document and let mega6 find it as a file? 
Thanks all for the tips.  I was lost on step 3 without an idea of how to save the sequences in the right format for Mega.
I can't convert a .#URLREF file to a .fas file on a Mac.  The .txt extension appears whether I specify it or not. 
I am using TextEdit on the Mac. Find where the file is, the <control> click or select it and click <command>-i to Get info.  You can change the name (in the name and extension box) and unclick the hide extension option so that you can see the .fas extension. hope this helps.
On my windows vista machine, I opened the downloaded file in notepad. I had to use File -> save as -> file type Then in the bottom I selected As as type = ""all files"". After this Mega was able to read my downloaded file.  I hope this helps.","Notepad is a better option than word, but make sure that you select ""All files"" (in ""Save As""). this should remove the current file extension (this works for me in Win XP, Vista and 7) 
Arleigh, Since you seem to have been stuck at the same place I was, perhaps you can post in detail how you got unstuck.  Specifically: 1) where did you find the sequences we are suppose to use.  I can't find anything saying ""you will need these sequences for the lab"" and asking you to right click.  ...where is this? 2) I have downloaded Mega 6 and Crimson Editor to my Windows 7 machine..both appear to be functional.  Once I get the sequence from the location do I just copy it and paste it into the crimson editor?  once I get the output from crimson do I save it to my computer as a word document and let mega6 find it as a file? 
I am using TextEdit on the Mac. Find where the file is, the <control> click or select it and click <command>-i to Get info.  You can change the name (in the name and extension box) and unclick the hide extension option so that you can see the .fas extension. hope this helps.",6,3
44,clustaw parameters,bioinfomethods1-001,1,resolves," do someone knows the significance of all Clustaw parameters? from residue-specific penalties to below 
",,1,0
45,About Mega alignment - Display / Toggle conserved sites,bioinfomethods1-001,1,resolves,There is a nice characteristic in Mega at menu --> Display / Toggle conserved sites after aligned it shows the 60% (or other) sites aligned without the background color,,1,0
46,What does the scale bar at the trees mean?,bioinfomethods1-001,1,resolves,"Once we get the tree, there is at the bottom a scale bar, what does it means/measures? What it is for?
",,1,0
47,Which number is bootstrap score?,bioinfomethods1-001,1,resolves,"I got a phylogenic tree as below. There are four P marinus in above tree and numbers between 71~100. Which number is thought to be a bootstrap score?  
This is a number that corresponds to a common ancestor ot the all five P marinus.",,2,0
48,Lab Quiz 4 Question 3,bioinfomethods1-001,1,resolves,"I think after ""playing"" around with MEGA parameters during the NJ tree study it does not present default parameters anymore. By consequence, when performing ML the resulting bootstrap value in cause is not listed in the options. Can someone give me the list of ML default parameters?
I have the same problem.
",,2,0
49,My result was different from instruction (figure 3)...,bioinfomethods1-001,1,resolves,"1. File: bioinfomethods1-labs-Lab3,#URLREF (Lab 4. instruction page, one of the linked file) 2. Instruction Bootstrap method, 500 Hide values lower than and input 70% I followed the instructions,but results was not identical. What was wrong with me? 
May be my post in ""Quiz 4, Question3"" can help, see here #URLREF#URLREF-001/forum/thread?thread_id=392 
The images in the lab document are not generated from the same data.  They appear to be examples of the sort of results we might get using other sample data. Notice that the organism names are not the same. 
hi Larynx I got a fairly similar tree like yours using the file that I downloaded from week 4 navigator page. I am going to try what Edward suggested above in his other thread i.e. repeat several times.",,4,0
50,.Lab4 question?,bioinfomethods1-001,1,resolves,"I can't find the following under analysis or phlogeny? please let me know exact address- thanks ""Bootstrap methodâ under Phylogeny Test/Test of Phylogeny
",,1,0
51,Lecture 1.2:ÃÂ  How can Undiagnosed Diabetic Patients be estimated?,diabetes-001,1,resolves,,,0,0
52,Hypertension and smoking are risk factors for diabetes??? Are we being a little overenthusiastic?,diabetes-001,1,elaborates,"In week 1 lectures hypertension and smoking are mentioned as risk factors for diabetes. Hypertension is a common comorbidity, but a risk factor?? Is there some biologically plausible explanation? As for smoking, I know it's fashionable to blame tobacco for all the world's ills, but is there anything more? ""Poor nutrition during pregnancy"" is another risk factor mentioned. For the mother or the baby?",,1,0
53,Week 4 part 3 lecture as video download,diabetes-001,1,social,"Hi, Is there a reason why the part 3 lecture of this week 4 lectures cannot be downloaded as a video? I usually download them and upload to my cloud space to watch during night shifts as I cannot use Coursera website. Thanks, Roz
I have the same problem - no video and no transcript? 
No theres no icon beside that lecture to download.. I'm hoping it's just a mistake and a staff member tries to fix it?",,3,0
54,When can we view week 4 lectures?,diabetes-001,1,resolves,"Just wondering when week 4 lectures will be available?
I was wondering the same myself.",,2,0
55,Lecture 3.3 time15:42 Question???,diabetes-001,"1,2.",social,"The question in the lecture: The risk of developing type 2 diabetes is..... 'reduced' by a sedentary lifestyle. This is the correct answer in the lecture quiz. totally incorrect..... 
In fact, answers of two questions are wrong..the question on metabolic health also carries the wrong option as the correct answer
 I agree . It must be a program error"," I agree . It must be a program error 
",2,1
56,What is the Masouda Index???,diabetes-001,1,elaborates,It was mentioned in the 2nd video lecture in Week 3. I think the subtitling is incorrect - it should be Matsuda Index.,,1,0
57,Vocabulary List Started In Our Wiki. Please Edit and Expand As Needed,diabetes-001,"1,2,3.",social,"Hi Allâ¦ After realizing that, with careful listening and attention, it is possible to answer some of the quiz questions without really understanding what is going on, I decided to make a vocabulary list on the course wiki. I hope this will help those of us who are not medical professionals or are not native speakers of English. The vocabulary list can be found on the course wiki. So far it just has words from Week 2. Everyone is invited to share their knowledge and expertise by adding to it and expanding it as appropriate. You will need to do a simple one click sign-in to edit, but anyone can read it. You get there by clicking on the ""Course Wiki"" heading, on the left under ""Community."" You may note that it tells you to use ""Markdown"" to format your posts, however that is just another way to get HTML. If you know HTML already, it works just fine too. 
Well done, I thought about this but didn't know how to do it.
Hi Caryl. Thank you for your thoughtfulness. However, one is required to log-in. I cannot find the log-in button to access...",,3,0
58,What is KM as mentioned in the first lecture of week 2?,diabetes-001,1,elaborates,"thanks in advance! 
",,1,0
59,Thanks to all the team.,friendsmoneybytes-004,1,resolves,"I deeply appreciate all your effort in showing us, your knowledge. Excellent
",,1,0
60,Lecture 6: If the price is delay/loss how can a link update it?,friendsmoneybytes-004,1,resolves,"The video says in different versions of TCP, prices are set to be packet loss or delay. And during each round of the distributive iteration, we have to update the price p. My question is, price #MATH should be determined by traffic on the whole path. How possibly can a single link update/decide the price of next round?
",,1,0
